Aaberg	'o:-%b{rg
Åbødalen	'o:-b9-%dA:-ln=
abolisjonene	A-bU-lI-'Su:-nn=-@
abolisjoner	A-bU-lI-'Su:-n@r
abolisjonister	A-bU-lI-SU-'nI-st@r
a-bomben	'A:-%bUm-b@n
abonnementets	A-bU-n@-'mAN-@ts
abonnements	A-bU-n@-'mANs
abonnementsavgiften	A-bU-n@-'mANs-Av-%jIf-tn=
abonnementsavgiftene	A-bU-n@-'mANs-Av-%jIf-tn=-@
abonnementsavgiftenes	A-bU-n@-'mANs-Av-%jIf-tn=-@s
abonnementsfilene	A-bU-n@-'mANs-%fi:-ln=-@
abonnementskonsert	A-bU-n@-'mANs-kOn-%s{t`
abonnementskonsertens	A-bU-n@-'mANs-kOn-%s{-t`n`=s
abonnementsprisene	A-bU-n@-'mANs-%pri:-sn=-@
abonnementssalg	A-bU-n@-'mAN-%sAlg
abonnementssalgenes	A-bU-n@-'mAN-%sAl-g@-n@s
abonnenter	A-bU-'nEn-t@r
åborene	"o:-bO-n`=-@
aborten	A-'bO-t`n`=
abortere	A-bO-'t`e:-r@
aborterer	A-bO-'t`e:-r@r
aborterte	A-bO-'t`e:-t`@
abortiva	A-bO-'t`i:-vA
abortivkurens	A-bO-'t`i:v-%k}:-n`=s
abortivkurers	A-bO-'t`i:v-%k}:-r@s`
abortivmiddels	A-bO-'t`i:v-%mI-dl=s
abortivt	A-bO-'t`i:vt
abortklinikker	A-'bOt`-klI-%nI-k@r
abortlov	A-'bOt`-%lo:v
abortlovers	A-'bOt`-%lo:-v@s`
abortlovs	A-'bOt`-%lo:vs
abortsøkendes	A-'bOt`-%s`2:-k@-n@s
abortsøkere	A-'bOt`-%s`2:-k@-r@
abortspørsmålet	A-'bOt`-s`p9-%s`mo:-l@
abreviertes	A-br@-vI-'e:-t`@s
Absalon	'Ab-sA-%lOn
abscesser	Ab-'sE-s@r
abscissenes	Ab-"sI-sn=-@s
abscissens	Ab-"sI-sn=s
absenterendes	Ab-s@n-'te:-n`=-@s
absentert	Ab-s@n-'te:t`
absentertes	Ab-s@n-'te:-t`@s
absintenes	Ab-'sIn-tn=-@s
absints	Ab-'sInts
absolusjoner	Ab-sU-lu0-'Su:-n@r
absolutismes	Ab-sU-lu0-'tI-sm@s
absolutisten	Ab-sU-lu0-'tI-stn=
absolutists	Ab-sU-lu0-'tIsts
absolutta	'Ab-sU-lu0-tA
absolutterte	Ab-sU-lu0-'te:-t`@
absolutts	Ab-sU-'lu0ts
absolvert	Ab-sOl-'ve:t`
absorbents	Ab-sOr-'bEnts
absorberes	Ab-sOr-'be:-r@s
absorberingskoeffisientenes	Ab-sOr-'be:-rINs-kU-@-fI-sI-%En-tn=-@s
absorberingskoeffisienters	Ab-sOr-'be:-rINs-kU-@-fI-sI-%En-t@s`
absorpsjonsevnens	Ab-sOrp-'Su:ns-%Ev-nn=s
absorpsjonsevnes	Ab-sOrp-'Su:ns-%Ev-n@s
absorpsjonskoeffisienters	Ab-sOrp-'Su:ns-kU-@-fI-sI-%En-t@s`
abstinenssymptomene	Ab-stI-'nEns-sYm-%tu:-m@-n@
abstinenssymptomer	Ab-stI-'nEns-sYm-%tu:-m@r
abstinente	Ab-stI-'nEn-t@
abstinentes	Ab-stI-'nEn-t@s
abstinents	Ab-stI-'nEnts
abstraherendes	Ab-strA-'he:-n`=-@s
abstraherer	Ab-strA-'he:-r@r
abstrahering	Ab-strA-'he:-rIN
abstraheringen	Ab-strA-'he:-rIN-@n
abstraheringene	Ab-strA-'he:-rIN-@-n@
abstraherte	Ab-strA-'he:-t`@
abstraksjonenes	Ab-strAk-'Su:-nn=-@s
abstraksjonsnivåene	Ab-strAk-'Su:ns-nI-%vo:-@-n@
abstraksjonsnivåenes	Ab-strAk-'Su:ns-nI-%vo:-@-n@s
abstraktas	Ab-'strAk-tAs
abstrakte	Ab-'strAk-t@
abstraktene	Ab-'strAk-tn=-@
abstraktenes	Ab-'strAk-tn=-@s
absurdisme	Ab-su0-'d`I-sm@
absurdismes	Ab-su0-'d`I-sm@s
absurditeten	Ab-su0-d`I-'te:-tn=
Abtah	'Ab-tA
Abusdal	"A:-bu0s-%dA:l
accenter	Ak-'sAN-@r
acetater	A-s@-'tA:-t@r
acetaters	A-s@-'tA:-t@s`
acetonet	A-s@-'tu:-n@
acetylsalisylsyren	A-s@-'ty:l-sA-lI-%sy:l-%sy:-n`=
acetylsalisylsyrenes	A-s@-'ty:l-sA-lI-%sy:l-%sy:-n`=-@s
acreene	'{*I-k@-n`=-@
acreen	'{*I-k@-n`=
ActiveX	'Ek-tIv-%Eks
acyl	A-'sy:l
ad	'Ad	functional
adagioers	A-'dA:-ts`I-U-@s`
Ådalsbruk	'o:-dA:ls-%br}:k
adamseplas	"A:-dAms-%E-plAs
adamseplenes	"A:-dAms-%E-pln=-@s
adamseplers	"A:-dAms-%E-pl@s`
adamsnatur	"A:-dAms-nA-%t}:r
adamsslekt	"A:-dAms-%SlEkt
adamsslektenes	"A:-dAms-Sl@k-tn=-@s
adamsslekters	"A:-dAms-s`l@k-t@s`
Adana	A-'dA:-nA
adapsjonenes	A-dAp-'Su:-nn=-@s
adaptasjonene	A-dAp-tA-'Su:-nn=-@
adaptasjonenes	A-dAp-tA-'Su:-nn=-@s
adapteren	A-'dA:p-t@-n`=
adapterendes	A-dAp-'te:-n`=-@s
adapterers	A-'dA:p-t@-r@s`
adapternes	A-'dA:p-t@r-n`@s
adaptivts	A-'dAp-tIvts
adb-operatøren	%A:-d@-'be:-O-p@-rA-%t2:-n`=
ADB-operatørers	%A:-d@-'be:-O-p@-rA-%t2:-r@s`
addender	A-'dEn-d@r
adderende	A-'de:-n`=-@
adderingene	A-'de:-rIN-@-n@
adderingens	A-'de:-rIN-@ns
adderingers	A-'de:-rIN-@s`
adderts	A-'de:t`s`
addisjoners	A-dI-'Su:-n@s`
addisjonsfeils	A-dI-'SUns-%f{*Ils
addisjonsreaksjonens	A-dI-'Su:ns-r@-Ak-%Su:-nn=s
addisjonstegna	A-dI-'Su:ns-%t{*I-nA
addisjonstegnet	A-dI-'Su:ns-%t{*I-n@
additiva	'A-dI-%ti:-vA
adelsætta	'A:-dl=s-%E-tA
adelsbreva	'A:-dl=s-%bre:-vA
adelsdiplomet	'A:-dl=s-dI-%plu:-m@
adelskalenders	'A:-dl=s-kA-%lEn-d@s`
adelskapen	'A:-dl=-%skA:-p@n
adelsmann	'A:-dl=s-%mAn
adelsmanns	'A:-dl=s-%mAns
adelsmennenes	'A:-dl=s-%mE-nn=-@s
adelsmerkene	'A:-dl=s-%m{r-k@-n@
adelsmerkenes	'A:-dl=s-%m{r-k@-n@s
adelsprivileg	'A:-dl=s-prI-vI-%le:g
adelsprivilegets	'A:-dl=s-prI-vI-%le:-g@ts
adelsprivilegia	'A:-dl=s-prI-vI-%le:-gI-A
adelsprivilegiet	'A:-dl=s-prI-vI-%le:-gI-@
adelsskjoldene	'A:-dl=s-%SO-ln=-@
adelsslektenes	'A:-dl=s-%SlEk-tn=-@s
adelsstand	'A:-dl=s-%stAn
adelsstandens	'A:-dl=s-%stA-nn=s
adelstittelens	'A:-dl=s-%tI-t@lns
adelstittels	'A:-dl=s-%tI-tl=s
adeptens	A-'dEp-tn=s
adferdsproblemer	"A:d-f@d`s`-prU-%ble:-m@r
adgangsberettigede	"A:d-gANs-b@-%rE-tI-g@-d@
adgangsbillettenes	"A:d-gANs-bI-%lE-tn=-@s
adgangsbilletter	"A:d-gANs-bI-%lE-t@r
adgangskontroll	"A:d-gANs-kUn-%trOl
adgangskorta	"A:d-gANs-%kO-t`A
adgangsregulerte	"A:d-gANs-r@-gu0-%le:-t`@
adgangstegna	"A:d-gANs-%t{*I-nA
adgangstegnet	"A:d-gANs-%t{*I-n@
adhereres	Ad-h@-'re:-r@s
Adina	A-'di:-nA
Adine	A-'di:-n@
adjektivas	'A-dj@k-%ti:-vAs
adjektivering	A-dj@k-tI-'ve:-rIN
adjektivers	'A-dj@k-%ti:-v@s`
adjøas	A-'dj2:-As
adjøene	A-'dj2:-@-n@
adjøenes	A-'dj2:-@-n@s
adjutanten	A-dju0-'tAn-tn=
adjutanter	A-dju0-'tAn-t@r
adjutantskifte	A-dju0-'tAnt-%SIf-t@
adjutantstabers	A-dju0-'tAnt-%stA:-b@s`
adjutanturen	A-dju0-tAn-'t}:-n`=
adjutanturs	A-dju0-tAn-'t}:s`
Adkins	'Ad-kIns
Ådlandsvik	"Od-lAn-%svi:k
Adler	'A:d-l@r
adlydd	'Ad-%lYd
administrasjonsbygning	Ad-mI-nI-strA-'Su:ns-%bY-gnIN
administrasjonsbygningers	Ad-mI-nI-strA-'Su:ns-%bY-gnIN-@s`
administrasjonskostnadene	Ad-mI-nI-strA-'Su:ns-%kOst-nA-dn=-@
administrasjonsselskap	Ad-mI-nI-strA-'Su:ns-s@l-%skA:p
administrasjonstalentene	Ad-mI-nI-strA-'Su:ns-tA-%lEn-tn=-@
administrasjonstalentenes	Ad-mI-nI-strA-'Su:ns-tA-%lEn-tn=-@s
administrasjonstalentets	Ad-mI-nI-strA-'Su:ns-tA-%lEn-t@ts
administrativ	Ad-mI-'nI-strA-%ti:v
administrerendes	Ad-mI-nI-'stre:-n`=-@s
admiralers	Ad-mI-'rA:-l@s`
admiralflagg	Ad-mI-'rA:l-%flAg
admiralflaggenes	Ad-mI-'rA:l-%flA-g@-n@s
admiralflagget	Ad-mI-'rA:l-%flA-g@
admiralsflagga	Ad-mI-'rA:ls-%flA-gA
admiralsflagg	Ad-mI-'rA:ls-%flAg
admiralsflaggenes	Ad-mI-'rA:ls-%flA-g@-n@s
admiralsflaggets	Ad-mI-'rA:ls-%flA-g@ts
admiralskipene	Ad-mI-'rA:l-%Si:-p@-n@
admiralskipets	Ad-mI-'rA:l-%Si:-p@ts
admiralskips	Ad-mI-'rA:l-%Si:ps
admiralsskip	Ad-mI-'rA:ls-%Si:p
admiralsskipets	Ad-mI-'rA:ls-%Si:-p@ts
admiralsstab	Ad-mI-'rA:ls-%stA:b
admiralsstabens	Ad-mI-'rA:ls-%stA:-b@ns
admiralstaben	Ad-mI-'rA:l-%stA:-b@n
Ådne	"Od-n@
adonisen	A-'du:-nI-sn=
adonisk	A-'du:-nIsk
adonisks	A-'du:-nIsks
adopsjonens	A-dOp-'Su:-nn=s
adopsjoners	A-dOp-'Su:-n@s`
adopsjonskontoras	A-dOp-'Su:ns-kUn-%tu:-rAs
adopsjonskontorers	A-dOp-'Su:ns-kUn-%tu:-r@s`
adopsjonstillatelser	A-dOp-'Su:ns-tI-%lA:-tl=-s@r
adoptivbarna	A-dOp-'ti:v-%bA:-n`A
adoptivforeldras	A-dOp-'ti:v-fO-%rEl-drAs
adoptivforeldrenes	A-dOp-'ti:v-fO-%rEl-dr@-n@s
adressebøkenes	A-'drE-s@-%b2:-k@-n@s
adresseforandringer	A-'drE-s@-fO-%rAn-drIN-@r
adressekalenderen	A-'drE-s@-kA-%lEn-d@n`
adressekalenderes	A-'drE-s@-kA-%lEn-d@-r@s
adressekalenders	A-'drE-s@-kA-%lEn-d@s`
adressekortene	A-'drE-s@-%kO-t`n`=-@
adressekortet	A-'drE-s@-%kO-t`@
adresselaust	A-'drE-s@-%lE*u0st
adresseløses	A-'drE-s@-%l2:-s@s
adresseløst	A-'drE-s@-%l2:st
adressemeglerer	A-'drE-s@-%mE-gl@-r@r
adressemeglernes	A-'drE-s@-%mE-gl@r-n`@s
adressemeglers	A-'drE-s@-%mE-gl@s`
adressemeklinger	A-'drE-s@-%mE-klIN-@r
adressen	A-'drE-sn=
adresserer	A-dr@-'se:-r@r
adressering	A-dr@-'se:-rIN
adresseringsmaskinene	A-dr@-'se:-rINs-mA-%Si:-nn=-@
Adriana	A-drI-'A:-nA
ADS	%A:-d@-'Es
adskilles	'A:d-%SI-l@s
adskillige	Ad-'SI-lI-@
adskilligs	Ad-'SI-lIs
adskilt	'A:d-%SIlt
adskilts	'A:d-%SIlts
adsorbere	Ad-sOr-'be:-r@
adspredds	'A:d-%sprEds
adstringere	Ad-strIN-'ge:-r@
adstringeres	Ad-strIN-'ge:-r@s
advaring	'A:-%dvA:-rIN
advarselens	"A:d-%vA-s`@lns
adventen	"A-%dvEn-tn=
adventenes	"A-%dvEn-tn=-@s
adventist	A-dv@n-'tIst
adventistene	A-dv@n-'tI-stn=-@
adventistens	A-dv@n-'tI-stn=s
adventists	A-dv@n-'tIsts
adventistsamfunnet	A-dv@n-'tIst-sAm-%fu0-n@
Adventkirken	"A-dv@nt-%CIr-k@n
adventskalenderen	"A-dv@nts-kA-%lEn-d@n`
adventskalenderne	"A-dv@nts-kA-%lEn-d@-n`@
adventskalendrene	"A-dv@nts-kA-%lEn-dr@-n@
adventssøndagene	"A-dv@nts-s9n-%dA:-g@-n@
adventssøndagenes	"A-dv@nts-s9n-%dA:-g@-n@s
adventssøndagens	"A-dv@nts-s9n-%dA:-g@ns
adventssøndagers	"A-dv@nts-s9n-%dA:-g@s`
adventsstakene	"A-dv@nts-%stA:-k@-n@
adventstidenes	"A-dv@nts-%ti:-dn=-@s
adventstidens	"A-dv@nts-%ti:-dn=s
adventstids	"A-dv@nts-%ti:ds
adverbas	A-'dv{r-bAs
adverbiala	A-dv@r-bI-'A:-lA
adverbial	A-dv@r-bI-'A:l
adverbiale	A-dv@r-bI-'A:-l@
adverbialers	A-dv@r-bI-'A:-l@s`
advisert	A-dvI-'se:t`
advokat	A-dvU-'kA:t
advokatbevillingens	A-dvU-'kA:t-b@-%vI-lIN-@ns
advokatbevillings	A-dvU-'kA:t-b@-%vI-lINs
advokaten	A-dvU-'kA:-tn=
advokatfirmaers	A-dvU-'kA:t-%fIr-mA-@s`
advokatforening	A-dvU-'kA:t-fO-%re:-nIN
advokatkontor	A-dvU-'kA:t-kUn-%tu:r
advokatorisks	A-dvU-kA-'tu:-rIsks
advokatpraksis	A-dvU-'kA:t-%prAk-sIs
advokats	A-dvU-'kA:ts
advokatur	A-dvU-kA-'t}:r
Æbelø	"{:-b@-%l2:
æene	"{:-@-n@
Æ-ens	'{:-@ns
æers	"{:-@s`
A-egga	'A:-%E-gA
a-eggas	'A:-%E-gAs
ægide	E-"gi:-d@
ægidenes	E-"gi:-dn=-@s
ægidens	E-"gi:-dn=s
a-endingene	'A:-%E-nIN-@-n@
A-ene	"A:-@-n@
åenes	"o:-@-n@s
Å-en	'o:-@n
æraers	'{:-rA-@s`
aer	"A:-@r
ærbart	"{:r-%bA:t`
ærbødigeres	{r-'b2:-dI-@-r@s
ærbødighet	{r-'b2:-dI-%he:t
ærefull	"{:-r@-%fu0l
ærekjensla	"{:-r@-%CEn-slA
ærekjensles	"{:-r@-%CEn-sl@s
ærekrenkelsene	"{:rE-%krEN-kl=-sn=-@
ærekrenkelsers	"{:rE-%krEN-kl=-s@s`
ærekrenkende	"{:-r@-%krEN-k@-n@
ærelause	"{:-r@-%lE*u0-s@
æreløshet	"{:-r@-l2:s-%he:t
æreløsts	"{:-r@-%l2:sts
æreløyse	"{:-r@-%l9*Y-s@
ærendes	"{:-n`=-@s
ærendets	"{:-n`=-@ts
ærendsguttene	"{:-n`=s`-%gu0-tn=-@
ærendsgutter	"{:-n`=s`-%gu0-t@r
æren	'{:-n`=
ærerørig	"{:-r@-%r2:-rI
æresbevisnings	"{:-r@s-b@-%vi:-snINs
æresdoktoren	"{:-r@s-%dOk-tU-n`=
æresdoktor	"{:-r@s-%dOk-tUr
æresfølelsens	"{:-r@s-%f2:-ll=-sn=s
æresfølelses	"{:-r@s-%f2:-ll=-s@s
æresformann	"{:-r@s-fOr-%mAn
æresforpliktelsers	"{:-r@s-fOr-%plIk-tl=-s@s`
æresforpliktelses	"{:-r@s-fOr-%plIk-tl=-s@s
æresforpliktet	"{:-r@s-fOr-%plIk-t@t
æresforplikting	"{:-r@s-fOr-%plIk-tIN
æresgjestene	"{:-r@s-%jE-stn=-@
æresgjesten	"{:-r@s-%jE-stn=
æresgjests	"{:-r@s-%jEsts
æresjuke	"{:-r@-%S}:-k@
æresjuk	"{:-r@-%S}:k
æresjukts	"{:-r@-%S}:kts
æreskjelts	"{:-r@-%SElts
æreskjennendes	"{:-r@-%SE-nn=-@s
æreskjent	"{:-r@-%SEnt
æresmedlemma	"{:-r@s-me:d-%lE-mA
æresmedlemmer	"{:-r@s-me:d-%lE-m@r
æresmedlem	"{:-r@s-me:d-%lEm
æresmedlems	"{:-r@s-me:d-%lEms
æresordene	"{:-r@s-%u:-n`=-@
ærespresident	"{:-r@s-pr@-sI-%dEnt
æresprisene	"{:-r@s-%pri:-sn=-@
æresprisenes	"{:-r@s-%pri:-sn=-@s
ærespriser	"{:-r@s-%pri:-s@r
æresvaktas	"{:-r@s-%vAk-tAs
æresvakt	"{:-r@s-%vAkt
æresvakts	"{:-r@s-%vAkts
æresykene	"{:-r@-%sy:-k@-n@
æresykens	"{:-r@-%sy:-k@ns
æresyker	"{:-r@-%sy:-k@r
æresyke	"{:-r@-%sy:-k@
æresyk	"{:-r@-%sy:k
ærgjerrighet	{r-'j{-rI-%he:t
ærliges	"{:-l`I-@s
ærligheten	"{:-l`I-%he:-tn=
ærligstes	"{:-l`Ig-st@s
aerobes	E-'rO-b@s
aerobicen	E-'ru:-bI-k@n
aerodromenes	E-rU-'dru:-m@-n@s
aerodromer	E-rU-'dru:-m@r
aerogrammene	E-rU-'grA-m@-n@
aerogrammenes	E-rU-'grA-m@-n@s
aerograms	E-rU-'grAms
aeroklubbenes	'e:-rU-%klu0-b@-n@s
aerolitt	E-rU-'lIt
aerologis	E-rU-lU-'gi:s
aeronautens	E-rU-'nE*u0-tn=s
aeronauter	E-rU-'nE*u0-t@r
aeronauters	E-rU-'nE*u0-t@s`
aeronaut	E-rU-'nE*u0t
aeroplanene	'e:-rU-%plA:-nn=-@
aeroplaner	'e:-rU-%plA:-n@r
aeroplanets	'e:-rU-%plA:-n@ts
åer	"o:-@r
Å-er	"o:-@r
aerosolboksen	E-rU-'su:l-%bOk-sn=
aerosolboksens	E-rU-'su:l-%bOk-sn=s
aerosolboks	E-rU-'su:l-%bOks
ærverdigere	{r-'v{-d`I-@-r@
ærverdigs	{r-'v{-d`Is
ærverdigste	{r-'v{-d`Ig-st@
æsenes	"{:-sn=-@s
æse	"{:-s@
åes	"o:-@s
åetes	"o:-@-t@s
ætling	"Et-lIN
ættedrapets	"E-t@-%drA:-p@ts
ættefeidene	"E-t@-%f{*I-dn=-@
ættefeiden	"E-t@-%f{*I-dn=
ættefeiders	"E-t@-%f{*I-d@s`
ættegardenes	"E-t@-%gA:-n`=-@s
ættegarden	"E-t@-%gA:-n`=
ættegranskeren	"E-t@-%grAn-sk@-n`=
ættegranskers	"E-t@-%grAn-sk@s`
ættegranskingen	"E-t@-%grAn-skIN-@n
ættegranskingers	"E-t@-%grAn-skIN-@s`
ættegranskings	"E-t@-%grAn-skINs
ættens	'E-tn=s
ættesoga	"E-t@-%so:-gA
ættesogen	"E-t@-%so:-g@n
ættesogens	"E-t@-%so:-g@ns
ættetavles	"E-t@-%tAv-l@s
ættetrær	"E-t@-%tr{:r
ætting	"E-tIN
ættledda	"Et-%lE-dA
ættledende	"Et-%le:-dn=-@
æve	"e:-v@
ævelig	"e:-v@-lI
ævenes	"e:-v@-n@s
AF	"A:-%Ef
afasi	A-fA-'si:
afatikerers	A-'fA:-tI-k@-r@s`
afatiske	A-'fA:-tI-sk@
affæren	A-"f{:-n`=
affæres	A-"f{:-r@s
affeksjoner	A-f@k-'Su:-n@r
affeksjonsverdier	A-f@k-'Su:ns-v@-%d`i:-@r
affektasjonen	A-f@k-tA-'Su:-nn=
affektasjonens	A-f@k-tA-'Su:-nn=s
affekteres	A-f@k-'te:-r@s
affekterte	A-f@k-'te:-t`@
affektive	A-'fEk-%ti:-v@
affektivts	'A-f@k-%ti:vts
affektladdes	A-'fEkt-%lA-d@s
affektladet	A-'fEkt-%lA:-d@t
affekts	A-'fEkts
affiserende	A-fI-'se:-n`=-@
affiserts	A-fI-'se:t`s`
affutasje	A-fu0-'tA:-S@
afghanerne	Af-'gA:-n@-n`@
afghaners	Af-'gA:-n@s`
aforismer	A-fU-"rI-sm@r
aforismes	A-fU-"rI-sm@s
aforistiskes	A-fu:-'rI-stI-sk@s
Åfoss	"o:-%fOs
AFP-pensjon	%A:-Ef-'pe:-pAN-%Su:n
afrikanderer	A-frI-'kAn-d@-r@r
afrikanderne	A-frI-'kAn-d@-n`@
afroasiatiske	'A:-frU-A-sI-%A:-tI-sk@
afroasiatiskes	'A:-frU-A-sI-%A:-tI-sk@s
afroasiatisks	'A:-frU-A-sI-%A:-tIsks
afrodisi	A-frU-dI-'si:
afrofrisyrens	'A:-frU-frI-%sy:-n`=s
afrofrisyrers	'A:-frU-frI-%sy:-r@s`
aftenbønnenes	"Af-tn=-%b9-nn=-@s
aftenbønners	"Af-tn=-%b9-n@s`
aftenbrukens	"Af-tn=-%br}:-k@ns
aftenbruket	"Af-tn=-%br}:-k@
aftenbruks	"Af-tn=-%br}:ks
aftenens	"Af-tn=-@ns
Aftenposten-journalist	"Af-tn=-pO-stn=-SU-n`A-%lIst
aftenregnet	"Af-tn=-%r{*I-n@
aftensbordet	"Af-tn=s-%bu:-r@
aftensmaten	"Af-tn=s-%mA:-tn=
aftenstemningene	"Af-tn=-%stEm-nIN-@-n@
aftenstemningenes	"Af-tn=-%stEm-nIN-@-n@s
aftenstemningers	"Af-tn=-%stEm-nIN-@s`
aftenstjerners	"Af-tn=-%stj{:-n`@s`
aftentreknings	"Af-tn=-%trE-knINs
aftentur	"Af-tn=-%t}:r
aftenturenes	"Af-tn=-%t}:-n`=-@s
Aftonbladets	"Af-tOn-%blA:-d@
Aftret	"Af-tr@t
AG	"A:-%ge:
agat	A-'gA:t
agatringens	A-'gA:t-%rIN-@ns
agatringers	A-'gA:t-%rIN-@s`
agatrings	A-'gA:t-%rINs
agatsteinenes	A-'gA:t-%st{*I-nn=-@s
agatsteiner	A-'gA:t-%st{*I-n@r
Agca	'Ag-kA
agelaus	"A:-g@-%lE*u0s
agelaust	"A:-g@-%lE*u0st
agendaens	A-'gEn-dA-@ns
agende	A-"gEn-d@
agendes	A-"gEn-d@s
agens	"A:-g@ns
agensenes	A-'gEn-sn=-@s
agensens	A-'gEn-sn=s
agensleddene	'A:-g@ns-%lE-dn=-@
agenten	A-'gEn-tn=
agenter	A-'gEn-t@r
agentfilm	A-'gEnt-%fIlm
agentromanen	A-'gEnt-rU-%mA:-nn=
agentromanenes	A-'gEnt-rU-%mA:-nn=-@s
agenturfirmas	A-g@n-'t}:r-%fIr-mAs
agenturs	A-g@n-'t}:s`
ager	A-'ge:r
ågeren	'o:-g@-n`=
ågerets	'o:-g@-r@ts
ågerkar	"o:-g@r-%kA:r
ågerprisene	"o:-g@r-%pri:-sn=-@
ågers	'o:-g@s`
ages	"A:-g@s
aget	"A:-g@t
Aggersund	"A-g@-%s`u0n
agglutinerer	A-glu0-tI-'ne:-r@r
agglutineringene	A-glu0-tI-'ne:-rIN-@-n@
agglutinerings	A-glu0-tI-'ne:-rINs
aggregata	A-gr@-'gA:-tA
aggregatenes	A-gr@-'gA:-tn=-@s
aggregaters	A-gr@-'gA:-t@s`
aggregattilstanders	A-gr@-'gA:t-tIl-%stA-n@s`
aggregattilstands	A-gr@-'gA:t-tIl-%stAns
aggregerer	A-gr@-'ge:-r@r
aggregerte	A-gr@-'ge:-t`@
aggresjon	A-gr@-'Su:n
aggresjonene	A-gr@-'Su:-nn=-@
agioen	'A:d-tSU-@n
agiotapene	'A:d-tSU-%tA:-p@-n@
agiovinning	'A:-SU-%vI-nIN
agiterendes	A-gI-'te:-n`=-@s
agiterts	A-gI-'te:t`s`
Agle	"A-gl@
Agnalt	'AN-nAlt
agnas	'AN-nAs
agnatene	AN-'nA:-tn=-@
agnater	AN-'nA:-t@r
agnatiske	AN-'nA:-tI-sk@
agnats	AN-'nA:ts
Agnelli	An-'jE-lI
agner	"AN-n@r
Agnes	'AN-n@s
Agneta	A-'gne:-tA
Agnetha	AN-'ne:-tA
Agnethe	AN-'nE-t@
agning	"AN-nIN
agnmakkenes	"ANn-%mA-k@-n@s
agnmakker	"ANn-%mA-k@r
agnmarkens	"ANn-%mAr-k@ns
agnor	"AN-%nu:r
agnostikernes	AN-'nO-stI-k@r-n`@s
agnostisisme	A-gnO-stI-'sI-sm@
Ågoth	'o:-gOt
Ågotnes	'o:-gOt-%ne:s
AGR	%A:-ge:-'{r
agrarisk	A-'grA:-rIsk
agrariskes	A-'grA:-rI-sk@s
agrarparti	A-'grA:r-pA-%t`i:
agrarpartienes	A-'grA:r-pA-%t`i:-@-n@s
agrars	A-'grA:s`
agreementenes	E-'gri:-m@n-tn=-@s
ågre	"o:-gr@
agrikulturene	'A:-grI-ku0l-%t}:-n`=-@
Agro	'A:-grU
agronomiske	A-grU-'nu:-mI-sk@
agurksalatenes	A-'gu0rk-sA-%lA:-tn=-@s
